2025-11-04T23:41:23.634Z - info:   [06480] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-14T13:38:07.274Z - debug:  [09200] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-14T13:38:07.275Z - debug:  [09200] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-14T13:38:07.277Z - debug:  [09200] TFVC Repository.CheckVersion
2025-11-14T13:38:07.280Z - debug:  [09200] TFVC: tf add -noprompt -?
2025-11-14T13:38:07.285Z - error:  [09200] spawn EINVAL
2025-11-19T18:54:57.840Z - info:   [21588] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-19T18:54:57.841Z - info:   [21588] AzureReposVSCode/1.161.0 (VSCode 1.106.0; Windows_NT 10.0.26200; Node 22.20.0)
2025-11-19T18:54:57.842Z - debug:  [21588] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-19T18:54:57.843Z - debug:  [21588] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-19T18:54:57.862Z - debug:  [21588] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-19T18:54:57.862Z - debug:  [21588] TFVC Creating Tfvc object with localPath='undefined'
2025-11-19T18:54:57.864Z - debug:  [21588] Using TFS proxy: 
2025-11-19T18:54:57.864Z - debug:  [21588] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-19T18:54:57.867Z - debug:  [21588] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-19T18:54:57.869Z - debug:  [21588] TFVC Repository.CheckVersion
2025-11-19T18:54:57.871Z - debug:  [21588] TFVC: tf add -noprompt -?
2025-11-19T18:54:57.873Z - error:  [21588] spawn EINVAL
2025-11-21T23:27:42.860Z - info:   [24092] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-21T23:27:42.862Z - info:   [24092] AzureReposVSCode/1.161.0 (VSCode 1.106.1; Windows_NT 10.0.26200; Node 22.20.0)
2025-11-21T23:27:42.863Z - debug:  [24092] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-21T23:27:42.863Z - debug:  [24092] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-21T23:27:42.882Z - debug:  [24092] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-21T23:27:42.883Z - debug:  [24092] TFVC Creating Tfvc object with localPath='undefined'
2025-11-21T23:27:42.886Z - debug:  [24092] Using TFS proxy: 
2025-11-21T23:27:42.886Z - debug:  [24092] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-21T23:27:42.889Z - debug:  [24092] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-21T23:27:42.894Z - debug:  [24092] TFVC Repository.CheckVersion
2025-11-21T23:27:42.897Z - debug:  [24092] TFVC: tf add -noprompt -?
2025-11-21T23:27:42.906Z - error:  [24092] spawn EINVAL
2025-11-23T02:36:44.472Z - info:   [13136] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-23T02:36:44.473Z - info:   [13136] AzureReposVSCode/1.161.0 (VSCode 1.106.2; Windows_NT 10.0.26200; Node 22.20.0)
2025-11-23T02:36:44.474Z - debug:  [13136] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-23T02:36:44.474Z - debug:  [13136] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-23T02:36:44.512Z - debug:  [13136] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-23T02:36:44.513Z - debug:  [13136] TFVC Creating Tfvc object with localPath='undefined'
2025-11-23T02:36:44.515Z - debug:  [13136] Using TFS proxy: 
2025-11-23T02:36:44.516Z - debug:  [13136] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-23T02:36:44.521Z - debug:  [13136] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-23T02:36:44.523Z - debug:  [13136] TFVC Repository.CheckVersion
2025-11-23T02:36:44.525Z - debug:  [13136] TFVC: tf add -noprompt -?
2025-11-23T02:36:44.528Z - error:  [13136] spawn EINVAL
2025-11-23T04:28:23.831Z - info:   [24700] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-23T04:28:23.832Z - info:   [24700] AzureReposVSCode/1.161.0 (VSCode 1.106.2; Windows_NT 10.0.26200; Node 22.20.0)
2025-11-23T04:28:23.835Z - debug:  [24700] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-23T04:28:23.835Z - debug:  [24700] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-23T04:28:23.857Z - debug:  [24700] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-23T04:28:23.858Z - debug:  [24700] TFVC Creating Tfvc object with localPath='undefined'
2025-11-23T04:28:23.860Z - debug:  [24700] Using TFS proxy: 
2025-11-23T04:28:23.860Z - debug:  [24700] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-23T04:28:23.863Z - debug:  [24700] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-23T04:28:23.865Z - debug:  [24700] TFVC Repository.CheckVersion
2025-11-23T04:28:23.867Z - debug:  [24700] TFVC: tf add -noprompt -?
2025-11-23T04:28:23.871Z - error:  [24700] spawn EINVAL
2025-12-01T21:58:01.702Z - info:   [28520] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-12-01T21:58:01.704Z - info:   [28520] AzureReposVSCode/1.161.0 (VSCode 1.106.3; Windows_NT 10.0.26200; Node 22.20.0)
2025-12-01T21:58:01.706Z - debug:  [28520] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-01T21:58:01.708Z - debug:  [28520] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-01T21:58:01.768Z - debug:  [28520] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-01T21:58:01.769Z - debug:  [28520] TFVC Creating Tfvc object with localPath='undefined'
2025-12-01T21:58:01.770Z - debug:  [28520] Using TFS proxy: 
2025-12-01T21:58:01.771Z - debug:  [28520] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-12-01T21:58:01.775Z - debug:  [28520] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-12-01T21:58:01.779Z - debug:  [28520] TFVC Repository.CheckVersion
2025-12-01T21:58:01.781Z - debug:  [28520] TFVC: tf add -noprompt -?
2025-12-01T21:58:01.798Z - error:  [28520] spawn EINVAL
2025-12-11T23:04:34.214Z - info:   [16920] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-12-11T23:04:34.218Z - info:   [16920] AzureReposVSCode/1.161.0 (VSCode 1.107.0; Windows_NT 10.0.26200; Node 22.21.1)
2025-12-11T23:04:34.219Z - debug:  [16920] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-11T23:04:34.220Z - debug:  [16920] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-11T23:04:34.244Z - debug:  [16920] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-11T23:04:34.245Z - debug:  [16920] TFVC Creating Tfvc object with localPath='undefined'
2025-12-11T23:04:34.247Z - debug:  [16920] Using TFS proxy: 
2025-12-11T23:04:34.247Z - debug:  [16920] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-12-11T23:04:34.252Z - debug:  [16920] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-12-11T23:04:34.254Z - debug:  [16920] TFVC Repository.CheckVersion
2025-12-11T23:04:34.255Z - debug:  [16920] TFVC: tf add -noprompt -?
2025-12-11T23:04:34.259Z - error:  [16920] spawn EINVAL
2025-12-14T14:17:29.566Z - info:   [22100] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-12-14T14:17:29.567Z - info:   [22100] AzureReposVSCode/1.161.0 (VSCode 1.107.0; Windows_NT 10.0.26200; Node 22.21.1)
2025-12-14T14:17:29.567Z - debug:  [22100] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-14T14:17:29.568Z - debug:  [22100] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-14T14:17:29.608Z - debug:  [22100] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-14T14:17:29.609Z - debug:  [22100] TFVC Creating Tfvc object with localPath='undefined'
2025-12-14T14:17:29.610Z - debug:  [22100] Using TFS proxy: 
2025-12-14T14:17:29.610Z - debug:  [22100] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-12-14T14:17:29.626Z - debug:  [22100] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-12-14T14:17:29.627Z - debug:  [22100] TFVC Repository.CheckVersion
2025-12-14T14:17:29.628Z - debug:  [22100] TFVC: tf add -noprompt -?
2025-12-14T14:17:29.631Z - error:  [22100] spawn EINVAL
2025-12-15T23:23:31.084Z - info:   [16216] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-12-15T23:23:31.087Z - info:   [16216] AzureReposVSCode/1.161.0 (VSCode 1.107.0; Windows_NT 10.0.26200; Node 22.21.1)
2025-12-15T23:23:31.089Z - debug:  [16216] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-15T23:23:31.089Z - debug:  [16216] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-15T23:23:31.150Z - debug:  [16216] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-15T23:23:31.151Z - debug:  [16216] TFVC Creating Tfvc object with localPath='undefined'
2025-12-15T23:23:31.154Z - debug:  [16216] Using TFS proxy: 
2025-12-15T23:23:31.155Z - debug:  [16216] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-12-15T23:23:31.161Z - debug:  [16216] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-12-15T23:23:31.165Z - debug:  [16216] TFVC Repository.CheckVersion
2025-12-15T23:23:31.169Z - debug:  [16216] TFVC: tf add -noprompt -?
2025-12-15T23:23:31.173Z - error:  [16216] spawn EINVAL
2025-12-18T13:31:14.490Z - info:   [09224] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-12-18T13:31:14.492Z - info:   [09224] AzureReposVSCode/1.161.0 (VSCode 1.107.1; Windows_NT 10.0.26200; Node 22.21.1)
2025-12-18T13:31:14.492Z - debug:  [09224] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-18T13:31:14.493Z - debug:  [09224] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-18T13:31:14.514Z - debug:  [09224] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-18T13:31:14.515Z - debug:  [09224] TFVC Creating Tfvc object with localPath='undefined'
2025-12-18T13:31:14.517Z - debug:  [09224] Using TFS proxy: 
2025-12-18T13:31:14.519Z - debug:  [09224] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-12-18T13:31:14.521Z - debug:  [09224] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-12-18T13:31:14.524Z - debug:  [09224] TFVC Repository.CheckVersion
2025-12-18T13:31:14.526Z - debug:  [09224] TFVC: tf add -noprompt -?
2025-12-18T13:31:14.532Z - error:  [09224] spawn EINVAL
2025-12-23T00:30:46.251Z - info:   [22016] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-12-23T00:30:46.253Z - info:   [22016] AzureReposVSCode/1.161.0 (VSCode 1.107.1; Windows_NT 10.0.26200; Node 22.21.1)
2025-12-23T00:30:46.254Z - debug:  [22016] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-23T00:30:46.254Z - debug:  [22016] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-23T00:30:46.274Z - debug:  [22016] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-12-23T00:30:46.275Z - debug:  [22016] TFVC Creating Tfvc object with localPath='undefined'
2025-12-23T00:30:46.277Z - debug:  [22016] Using TFS proxy: 
2025-12-23T00:30:46.277Z - debug:  [22016] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-12-23T00:30:46.281Z - debug:  [22016] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-12-23T00:30:46.282Z - debug:  [22016] TFVC Repository.CheckVersion
2025-12-23T00:30:46.284Z - debug:  [22016] TFVC: tf add -noprompt -?
2025-12-23T00:30:46.288Z - error:  [22016] spawn EINVAL
